"id";"name";"ma_dinh_danh_code";"status";"created_by";"created_date";"last_modified_by";"last_modified_date"
1;"Bộ Kế hoạch và Đầu tư (Tổng cục Thống kê)";"000.00.00.G05";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
2;"Bộ Lao động - Thương binh và Xã hội";"000.00.00.G07";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
3;"Tòa án nhân dân tối cao";"000.00.00.D01";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
4;"Bảo hiểm Xã hội Việt Nam";"000.00.00.G24";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
5;"Ban Tổ chức Trung ương Đảng";"000.00.00.000";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
6;"Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh";"000.00.00.I03";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
7;"Hội Liên hiệp Thanh niên Việt Nam";"000.00.00.000";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
8;"Văn phòng Quốc hội";"000.00.00.C01";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
9;"Bộ Nội vụ";"000.00.00.G09";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
10;"Bộ Khoa học và Công nghệ";"000.00.00.G06";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
11;"Bộ Giáo dục và Đào tạo";"000.00.00.G03";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
12;"Bộ Y tế";"000.00.00.G18";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
13;"Bộ Thông tin và Truyền thông";"000.00.00.G14";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
14;"Bộ Công an";"000.00.00.G01";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
15;"Viện Kiểm sát nhân dân tối cao";"000.00.00.E01";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"
16;"Bộ Tư pháp";"000.00.00.G15";"PUBLISH";"admin";"2019-04-26 20:36:00";"admin";"2019-04-26 20:36:00"

