"id";"ma_dinh_danh_code";"parent_code";"name";"jhi_level";"created_by";"created_date";"last_modified_by";"last_modified_date"
1;"000.00.01.H29";"000.00.00.H29";"Văn phòng Ủy ban nhân dân thành phố";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
2;"000.00.02.H29";"000.00.00.H29";"Sở Công thương";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
3;"000.00.03.H29";"000.00.00.H29";"Sở Du lịch";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
4;"000.00.04.H29";"000.00.00.H29";"Sở Giáo dục và Đào tạo";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
5;"000.00.05.H29";"000.00.00.H29";"Sở Giao thông vận tải";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
6;"000.00.06.H29";"000.00.00.H29";"Sở Kế hoạch và Đầu tư";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
7;"000.00.07.H29";"000.00.00.H29";"Sở Khoa học và Công nghệ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
8;"000.00.08.H29";"000.00.00.H29";"Sở Lao động Thương binh và Xã hội";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
9;"000.00.09.H29";"000.00.00.H29";"Sở Ngoại vụ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
10;"000.00.10.H29";"000.00.00.H29";"Sở Nội vụ";"2019-04-26 20:36:00";"admin";"2019-04-29 20:39:42";"admin";"2019-04-26 20:36:00"
