"id";"status";"noi_dung_id";"nhom_danh_muc_id";"created_by";"created_date";"last_modified_by";"last_modified_date"
1;"PUBLISH";1;2;"admin";"2019-04-29 01:20:00";"admin";"2019-04-29 01:20:00"
2;"PUBLISH";1;5;"admin";"2019-04-30 01:20:00";"admin";"2019-04-30 01:20:00"
3;"PUBLISH";1;6;"admin";"2019-05-01 01:20:00";"admin";"2019-05-01 01:20:00"
4;"PUBLISH";2;40;"admin";"2019-05-02 01:20:00";"admin";"2019-05-02 01:20:00"
5;"PUBLISH";3;40;"admin";"2019-05-03 01:20:00";"admin";"2019-05-03 01:20:00"
6;"PUBLISH";3;1;"admin";"2019-05-04 01:20:00";"admin";"2019-05-04 01:20:00"
7;"PUBLISH";3;16;"admin";"2019-05-05 01:20:00";"admin";"2019-05-05 01:20:00"
8;"PUBLISH";4;1;"admin";"2019-05-06 01:20:00";"admin";"2019-05-06 01:20:00"
9;"PUBLISH";4;16;"admin";"2019-05-07 01:20:00";"admin";"2019-05-07 01:20:00"
10;"PUBLISH";5;5;"admin";"2019-05-08 01:20:00";"admin";"2019-05-08 01:20:00"
11;"PUBLISH";5;6;"admin";"2019-05-09 01:20:00";"admin";"2019-05-09 01:20:00"
12;"PUBLISH";5;3;"admin";"2019-05-10 01:20:00";"admin";"2019-05-10 01:20:00"
13;"PUBLISH";5;2;"admin";"2019-05-11 01:20:00";"admin";"2019-05-11 01:20:00"
14;"PUBLISH";6;2;"admin";"2019-05-12 01:20:00";"admin";"2019-05-12 01:20:00"
15;"PUBLISH";6;3;"admin";"2019-05-13 01:20:00";"admin";"2019-05-13 01:20:00"
16;"PUBLISH";6;26;"admin";"2019-05-14 01:20:00";"admin";"2019-05-14 01:20:00"
17;"PUBLISH";6;22;"admin";"2019-05-15 01:20:00";"admin";"2019-05-15 01:20:00"
18;"PUBLISH";6;23;"admin";"2019-05-16 01:20:00";"admin";"2019-05-16 01:20:00"
19;"PUBLISH";6;24;"admin";"2019-05-17 01:20:00";"admin";"2019-05-17 01:20:00"
20;"PUBLISH";7;7;"admin";"2019-05-18 01:20:00";"admin";"2019-05-18 01:20:00"
21;"PUBLISH";8;16;"admin";"2019-05-19 01:20:00";"admin";"2019-05-19 01:20:00"
22;"PUBLISH";8;1;"admin";"2019-05-20 01:20:00";"admin";"2019-05-20 01:20:00"
23;"PUBLISH";9;1;"admin";"2019-05-21 01:20:00";"admin";"2019-05-21 01:20:00"
24;"PUBLISH";10;39;"admin";"2019-05-22 01:20:00";"admin";"2019-05-22 01:20:00"
